/I0/i X,/I0/i Y
0.5400000000000004,-1.859999994638218e-18
0.5440000000000004,-1.859999993980705e-18
0.5480000000000004,-1.859999993242561e-18
0.5520000000000004,-1.859999992413899e-18
0.5560000000000004,-1.859999991483618e-18
0.5600000000000004,-1.859999990439258e-18
0.5640000000000004,-1.859999989266828e-18
0.5680000000000004,-1.859999987950623e-18
0.5720000000000004,-1.859999986473013e-18
0.5760000000000004,-1.859999984814204e-18
0.5800000000000004,-1.859999982951975e-18
0.5840000000000004,-1.859999980861383e-18
0.5880000000000004,-1.859999978514422e-18
0.5920000000000004,-1.859999975879653e-18
0.5960000000000004,-1.859999972921785e-18
0.6000000000000004,-1.859999969601194e-18
0.6040000000000004,-1.8599999658734e-18
0.6080000000000004,-1.859999961688468e-18
0.6120000000000004,-1.85999995699034e-18
